April 2021, 60000, 16500
May 2021, 61500, 20000
June 2021, 65500, 18500
July 2021, 64500, 18100
August 2021, 64000, 16000
September 2021, 67000, 17500
October 2021, 67500, 18700
November 2021, 70000, 21000
December 2021, 80000, 23000
January 2022, 78000, 26000
February 2022, 75000, 21000
March 2022, 85000, 23000
April 2022, 76500, 24000
May 2022, 75500, 23000
June 2022, 74000, 19500
July 2022, 75500, 21000
August 2022, 74000, 23000
September 2022, 74000, 31000
October 2022, 70000, 14000
November 2022, 71000, 20000
December 2022, 70500, 21000
January 2023, 73000, 29000
February 2023, 74000, 18000
March 2023, 73000, 22000
April 2023, 71000, 26000
May 2023, 70000, 20000
June 2023, 67000, 20000
July 2023, 65000, 18000
August 2023, 64000, 15000
September 2023, 64000, 15000
October 2023, 63000, 18000
November 2023, 62000, 17500
December 2023, 82000, 16500
January 2024, 74000, 15500
February 2024, 158000, 43000
March 2024, 125000, 21500
April 2024, 112500, 18000
May 2024, 105000, 17500
June 2024, 100000, 18000
July 2024, 98000, 18000
August 2024, 95000, 15000
September 2024, 92000, 15000
October 2024, 88000, 15000
November 2024, 87000, 13000
December 2024, 95000, 13500
January 2025, 91000, 11500
February 2025, 87000, 12500
March 2025, 83000, 11000
April 2025, 81428, 7700 
