April 2021, 377, 500
January 2022, 23578, 7000
February 2022, 25315, 8600
March 2022, 26188, 9400
April 2022, 27017, 12900
May 2022, 42500, 15600
June 2022, 43750, 12800
July 2022, 44351, 11000
August 2022, 43775, 10000
September 2022, 43129, 9500
October 2022, 44193, 9000
November 2022, 52706, 11500
December 2022, 52559, 13100
January 2023, 55793, 11300
February 2023, 54176, 11500
March 2023, 54954, 10500
April 2023, 56340, 12000
May 2023, 56221, 13400
June 2023, 56250, 12000
July 2023, 56049, 11000
August 2023, 56069, 13000
September 2023, 55629, 13500
October 2023, 54980, 14300
November 2023, 54525, 13700
December 2023, 54785, 15800
January 2024, 60405, 18500
February 2024, 60939, 14500
March 2024, 65518, 15000
April 2024, 66140, 15000
May 2024, 66590, 14000
June 2024, 66772, 14200
July 2024, 67735, 15500
August 2024, 67000, 14000
September 2024, 66683, 13500
October 2024, 66253, 12500
November 2024, 65455, 12600
December 2024, 65965, 13000
January 2025, 73000, 14600
February 2025, 74301, 14018
March 2025, 73578, 12000
April 2025, 71779, 13700 
