July 2021, 25000, 6000
August 2021, 27000, 5500
September 2021, 28000, 5000
October 2021, 29000, 4800
November 2021, 29500, 4600
December 2021, 30000, 4400
January 2022, 30500, 5200
February 2022, 31000, 6000
March 2022, 31500, 6500
April 2022, 31000, 9000
May 2022, 30000, 10000
June 2022, 29000, 11000
July 2022, 28500, 10000
August 2022, 28000, 8500
September 2022, 27500, 8000
October 2022, 27000, 7500
November 2022, 26000, 6800
December 2022, 25500, 6200
January 2023, 35000, 6100
February 2023, 36000, 6000
March 2023, 36500, 5800
April 2023, 36000, 5700
May 2023, 35500, 5600
June 2023, 34500, 5500
July 2023, 34000, 5800
August 2023, 34500, 6100
September 2023, 35000, 6200
October 2023, 35500, 6300
November 2023, 36000, 6400
December 2023, 36500, 6500
January 2024, 53000, 5800
February 2024, 54000, 5700
March 2024, 55000, 5600
April 2024, 56000, 6000
May 2024, 58000, 7000
June 2024, 60000, 8500
July 2024, 61000, 9000
August 2024, 62000, 9500
September 2024, 61000, 9800
October 2024, 60000, 10000
November 2024, 59000, 9200
December 2024, 58000, 9000
January 2025, 100000, 9000
February 2025, 110000, 9500
March 2025, 115000, 8500
April 2025, 88988, 7500 
