February 2022, 50, 0
March 2022, 200, 500
April 2022, 700, 800
May 2022, 1300, 1000
June 2022, 1350, 1100
July 2022, 1400, 900
August 2022, 1350, 950
September 2022, 1320, 1000
October 2022, 1300, 1000
November 2022, 1280, 950
December 2022, 1250, 900
January 2023, 1400, 1100
February 2023, 1500, 1200
March 2023, 1800, 1400
April 2023, 2000, 2000
May 2023, 2200, 2200
June 2023, 2400, 2400
July 2023, 2800, 3200
August 2023, 3000, 2800
September 2023, 3050, 2600
October 2023, 3100, 2500
November 2023, 3150, 2400
December 2023, 3200, 2300
January 2024, 3000, 2500
February 2024, 3050, 2700
March 2024, 3200, 2800
April 2024, 3400, 2900
May 2024, 3500, 1800
June 2024, 3600, 2000
July 2024, 3700, 2100
August 2024, 3750, 1500
September 2024, 3700, 1700
October 2024, 3650, 2000
November 2024, 3600, 2300
December 2024, 3550, 2700
January 2025, 4900, 3900
February 2025, 6200, 3100
March 2025, 6500, 2500
April 2025, 6494, 2000 
